instanceId,priority,environment,status,actualResult,evidenceIds,bugIds,runner,durationMinutes,notes
A01,TP0,ENV-D1,NOT_RUN,,,,,,
A02,TP0,ENV-D1,NOT_RUN,,,,,,
A03,TP1,ENV-D1,NOT_RUN,,,,,,
A04,TP1,ENV-D1,NOT_RUN,,,,,,
A05,TP1,ENV-D1,NOT_RUN,,,,,,
A06,TP1,ENV-D1,NOT_RUN,,,,,,
A07,TP1,ENV-D1,NOT_RUN,,,,,,
A08,TP1,ENV-D1,NOT_RUN,,,,,,
A09,TP2,ENV-D1,NOT_RUN,,,,,,
A10,TP1,ENV-D1,NOT_RUN,,,,,,
A11,TP1,ENV-D1,NOT_RUN,,,,,,
B01,TP0,ENV-D1,NOT_RUN,,,,,,
B02[software-project],TP1,ENV-D1,NOT_RUN,,,,,,
B02[lab-report],TP1,ENV-D1,NOT_RUN,,,,,,
B02[internship-report],TP1,ENV-D1,NOT_RUN,,,,,,
B02[readme-report],TP1,ENV-D1,NOT_RUN,,,,,,
B03[software-project],TP0,ENV-D1,NOT_RUN,,,,,,
B03[lab-report],TP0,ENV-D1,NOT_RUN,,,,,,
B03[internship-report],TP0,ENV-D1,NOT_RUN,,,,,,
B03[readme-report],TP0,ENV-D1,NOT_RUN,,,,,,
B04,TP1,ENV-D1,NOT_RUN,,,,,,
B05,TP2,ENV-D1,NOT_RUN,,,,,,
B06,TP0,ENV-D1,NOT_RUN,,,,,,
B07,TP0,ENV-D1,NOT_RUN,,,,,,
B08,TP0,ENV-D1,NOT_RUN,,,,,,
B09,TP1,ENV-D1,NOT_RUN,,,,,,
B10,TP1,ENV-D1,NOT_RUN,,,,,,
B11,TP1,ENV-D1,NOT_RUN,,,,,,
B12,TP1,ENV-D1,NOT_RUN,,,,,,
B13,TP1,ENV-D1,NOT_RUN,,,,,,
C01,TP0,ENV-D1,NOT_RUN,,,,,,
C02,TP0,ENV-D1,NOT_RUN,,,,,,
C03,TP0,ENV-D1,NOT_RUN,,,,,,
C04,TP0,ENV-D1,NOT_RUN,,,,,,
C05,TP1,ENV-D1,NOT_RUN,,,,,,
C06,TP1,ENV-D1,NOT_RUN,,,,,,
C07,TP1,ENV-D1,NOT_RUN,,,,,,
C08,TP1,ENV-D1,NOT_RUN,,,,,,
C09,TP1,ENV-D1,NOT_RUN,,,,,,
C10,TP1,ENV-D1,NOT_RUN,,,,,,
C11,TP1,ENV-D1,NOT_RUN,,,,,,
C12,TP1,ENV-D1,NOT_RUN,,,,,,
C13,TP0,ENV-D1,NOT_RUN,,,,,,
C14,TP0,ENV-D1,NOT_RUN,,,,,,
C15,TP1,ENV-D1,NOT_RUN,,,,,,
C16,TP1,ENV-D1,NOT_RUN,,,,,,
C17,TP1,ENV-D1,NOT_RUN,,,,,,
C18,TP2,ENV-D1,NOT_RUN,,,,,,
D01,TP0,ENV-D1,NOT_RUN,,,,,,
D02,TP0,ENV-D1,NOT_RUN,,,,,,
D03,TP0,ENV-D1,NOT_RUN,,,,,,
D04,TP0,ENV-D1,NOT_RUN,,,,,,
D05,TP0,ENV-D1,NOT_RUN,,,,,,
D06,TP1,ENV-D1,NOT_RUN,,,,,,
D07,TP1,ENV-D1,NOT_RUN,,,,,,
D08,TP1,ENV-D1,NOT_RUN,,,,,,
D09,TP1,ENV-D1,NOT_RUN,,,,,,
D10,TP2,ENV-D1,NOT_RUN,,,,,,
E01,TP0,ENV-D1,NOT_RUN,,,,,,
E02,TP0,ENV-D1,NOT_RUN,,,,,,
E03,TP1,ENV-D1,NOT_RUN,,,,,,
E04,TP1,ENV-D1,NOT_RUN,,,,,,
E05,TP1,ENV-D1,NOT_RUN,,,,,,
E06,TP1,ENV-D1,NOT_RUN,,,,,,
E07,TP1,ENV-D1,NOT_RUN,,,,,,
E08,TP1,ENV-D1,NOT_RUN,,,,,,
E09,TP1,ENV-D1,NOT_RUN,,,,,,
E10,TP1,ENV-D1,NOT_RUN,,,,,,
E11,TP2,ENV-D1,NOT_RUN,,,,,,
F01,TP0,ENV-D1,NOT_RUN,,,,,,
F02,TP0,ENV-D1,NOT_RUN,,,,,,
F03,TP0,ENV-D1,NOT_RUN,,,,,,
F04[FX-XLSX-01],TP1,ENV-D1,NOT_RUN,,,,,,
F04[FX-XLSX-02],TP1,ENV-D1,NOT_RUN,,,,,,
F05[FX-PPTX-01],TP1,ENV-D1,NOT_RUN,,,,,,
F05[FX-PPTX-02],TP1,ENV-D1,NOT_RUN,,,,,,
F06,TP1,ENV-D1,NOT_RUN,,,,,,
F07,TP1,ENV-D1,NOT_RUN,,,,,,
F08,TP0,ENV-D1,NOT_RUN,,,,,,
F09,TP1,ENV-D1,NOT_RUN,,,,,,
F10,TP1,ENV-D1,NOT_RUN,,,,,,
F11,TP1,ENV-D1,NOT_RUN,,,,,,
F12[FX-IMP-05],TP1,ENV-D1,NOT_RUN,,,,,,
F12[FX-IMP-04],TP1,ENV-D1,NOT_RUN,,,,,,
F13[FX-IMP-01],TP1,ENV-D1,NOT_RUN,,,,,,
F13[FX-IMP-02],TP1,ENV-D1,NOT_RUN,,,,,,
F13[FX-IMP-03],TP1,ENV-D1,NOT_RUN,,,,,,
F14,TP2,ENV-D1,NOT_RUN,,,,,,
F15,TP2,ENV-D1,NOT_RUN,,,,,,
F16,TP2,ENV-D1,NOT_RUN,,,,,,
F17,TP2,ENV-D1,NOT_RUN,,,,,,
G01[video],TP0,ENV-D1,NOT_RUN,,,,,,
G01[github],TP0,ENV-D1,NOT_RUN,,,,,,
G01[deploy],TP0,ENV-D1,NOT_RUN,,,,,,
G01[drive],TP0,ENV-D1,NOT_RUN,,,,,,
G01[figma],TP0,ENV-D1,NOT_RUN,,,,,,
G01[account],TP0,ENV-D1,NOT_RUN,,,,,,
G01[api-docs],TP0,ENV-D1,NOT_RUN,,,,,,
G01[slide],TP0,ENV-D1,NOT_RUN,,,,,,
G01[other],TP0,ENV-D1,NOT_RUN,,,,,,
G02,TP1,ENV-D1,NOT_RUN,,,,,,
G03,TP1,ENV-D1,NOT_RUN,,,,,,
G04,TP0,ENV-D1,NOT_RUN,,,,,,
G05,TP1,ENV-D1,NOT_RUN,,,,,,
G06,TP1,ENV-D1,NOT_RUN,,,,,,
G07,TP1,ENV-D1,NOT_RUN,,,,,,
G08,TP2,ENV-D1,NOT_RUN,,,,,,
H01,TP0,ENV-D1,NOT_RUN,,,,,,
H02,TP0,ENV-D1,NOT_RUN,,,,,,
H03,TP0,ENV-D1,NOT_RUN,,,,,,
H04,TP1,ENV-D1,NOT_RUN,,,,,,
H05[html],TP0,ENV-D1,NOT_RUN,,,,,,
H05[pdf],TP0,ENV-D1,NOT_RUN,,,,,,
H05[docx],TP0,ENV-D1,NOT_RUN,,,,,,
H06[html],TP1,ENV-D1,NOT_RUN,,,,,,
H06[pdf],TP1,ENV-D1,NOT_RUN,,,,,,
H06[docx],TP1,ENV-D1,NOT_RUN,,,,,,
H07,TP1,ENV-D1,NOT_RUN,,,,,,
H08,TP1,ENV-D1,NOT_RUN,,,,,,
H09,TP1,ENV-D1,NOT_RUN,,,,,,
H10[html],TP2,ENV-D1,NOT_RUN,,,,,,
H10[pdf],TP2,ENV-D1,NOT_RUN,,,,,,
H10[docx],TP2,ENV-D1,NOT_RUN,,,,,,
H11,TP1,ENV-D1,NOT_RUN,,,,,,
H12,TP1,ENV-D1,NOT_RUN,,,,,,
H13,TP1,ENV-D1,NOT_RUN,,,,,,
H14,TP1,ENV-D1,NOT_RUN,,,,,,
I01,TP0,ENV-D1,NOT_RUN,,,,,,
I02,TP1,ENV-D1,NOT_RUN,,,,,,
I03,TP1,ENV-D1,NOT_RUN,,,,,,
I04,TP0,ENV-D1,NOT_RUN,,,,,,
I05,TP0,ENV-D1,NOT_RUN,,,,,,
I06,TP0,ENV-D1,NOT_RUN,,,,,,
I07,TP1,ENV-D1,NOT_RUN,,,,,,
I08,TP1,ENV-D1,NOT_RUN,,,,,,
I09,TP1,ENV-D1,NOT_RUN,,,,,,
I10,TP2,ENV-D1,NOT_RUN,,,,,,
J01,TP0,ENV-D1,NOT_RUN,,,,,,
J02,TP0,ENV-D1,NOT_RUN,,,,,,
J03,TP1,ENV-D1,NOT_RUN,,,,,,
J04,TP1,ENV-D1,NOT_RUN,,,,,,
J05,TP1,ENV-D1,NOT_RUN,,,,,,
J06,TP1,ENV-D1,NOT_RUN,,,,,,
J07,TP1,ENV-D1,NOT_RUN,,,,,,
J08,TP0,ENV-D1,NOT_RUN,,,,,,
J09,TP1,ENV-D1,NOT_RUN,,,,,,
J10,TP1,ENV-D1,NOT_RUN,,,,,,
K01,TP0,ENV-D1,NOT_RUN,,,,,,
K02,TP1,ENV-D1,NOT_RUN,,,,,,
K03[create-section],TP1,ENV-D1,NOT_RUN,,,,,,
K03[duplicate-section],TP1,ENV-D1,NOT_RUN,,,,,,
K03[move-section-up],TP1,ENV-D1,NOT_RUN,,,,,,
K03[move-section-down],TP1,ENV-D1,NOT_RUN,,,,,,
K03[save-draft],TP1,ENV-D1,NOT_RUN,,,,,,
K03[import-markdown],TP1,ENV-D1,NOT_RUN,,,,,,
K03[create-report],TP1,ENV-D1,NOT_RUN,,,,,,
K03[run-check],TP1,ENV-D1,NOT_RUN,,,,,,
K03[open-preview],TP1,ENV-D1,NOT_RUN,,,,,,
K03[toggle-focus-mode],TP1,ENV-D1,NOT_RUN,,,,,,
K03[open-export],TP1,ENV-D1,NOT_RUN,,,,,,
K03[open-ai-settings],TP1,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+S],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+N],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+D],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Alt+Up],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Alt+Down],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Enter],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+P],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+F],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+E],TP0,ENV-D1,NOT_RUN,,,,,,
K05,TP1,ENV-D1,NOT_RUN,,,,,,
K06,TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+B],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+I],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Backtick],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+C],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+T],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+M],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+Q],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+H],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Alt+1],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Alt+2],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Alt+3],TP1,ENV-D1,NOT_RUN,,,,,,
L01,TP0,ENV-D1,NOT_RUN,,,,,,
L02,TP0,ENV-D1,NOT_RUN,,,,,,
L03,TP1,ENV-D1,NOT_RUN,,,,,,
L04,TP1,ENV-D1,NOT_RUN,,,,,,
L05,TP0,ENV-D1,NOT_RUN,,,,,,
L06,TP1,ENV-D1,NOT_RUN,,,,,,
L07,TP1,ENV-D1,NOT_RUN,,,,,,
L08,TP1,ENV-D1,NOT_RUN,,,,,,
L09,TP1,ENV-D1,NOT_RUN,,,,,,
L10[FX-REC-01],TP2,ENV-D1,NOT_RUN,,,,,,
L10[FX-REC-02],TP2,ENV-D1,NOT_RUN,,,,,,
L10[FX-REC-03],TP2,ENV-D1,NOT_RUN,,,,,,
L11,TP2,ENV-D1,NOT_RUN,,,,,,
